Thread Number,Bytes Sent,IPAddress
25274,8,192.168.0.13:43968
27689,8,192.168.0.13:43966
29073,8,192.168.0.13:43980
26009,8,192.168.0.13:44126
29907,8,192.168.0.13:43972
26216,8,192.168.0.13:43950
26266,8,192.168.0.13:43954
26509,8,192.168.0.13:43970
27103,8,192.168.0.13:43962
26008,8,192.168.0.13:44060
27263,8,192.168.0.13:43974
27337,8,192.168.0.13:44128
27158,8,192.168.0.13:44122
27283,8,192.168.0.13:43978
27195,8,192.168.0.13:43976
29852,8,192.168.0.13:44102
29849,8,192.168.0.13:43956
29850,8,192.168.0.13:43990
29973,8,192.168.0.13:43984
30054,8,192.168.0.13:43946
30273,8,192.168.0.13:43992
26005,8,192.168.0.13:44056
31086,8,192.168.0.13:43994
31220,8,192.168.0.13:44088
31107,8,192.168.0.13:43998
26018,8,192.168.0.13:44064
31248,8,192.168.0.13:43986
31183,8,192.168.0.13:44100
26015,8,192.168.0.13:44058
31174,8,192.168.0.13:44124
31293,8,192.168.0.13:43988
31292,8,192.168.0.13:43996
26061,8,192.168.0.13:44066
31219,8,192.168.0.13:44000
31267,8,192.168.0.13:44092
31142,8,192.168.0.13:44130
31279,8,192.168.0.13:44096
31435,8,192.168.0.13:44080
31246,8,192.168.0.13:44084
31288,8,192.168.0.13:44086
31455,8,192.168.0.13:44082
31917,8,192.168.0.13:44110
32810,8,192.168.0.13:44094
32576,8,192.168.0.13:44112
32199,8,192.168.0.13:44120
34963,8,192.168.0.13:44118
34052,8,192.168.0.13:44090
26168,8,192.168.0.13:43960
39986,8,192.168.0.13:44104
25733,8,192.168.0.13:43948
26452,8,192.168.0.13:43958
34152,8,192.168.0.13:44098
29804,8,192.168.0.13:43982
38688,8,192.168.0.13:43964
28984,8,192.168.0.13:44072
28986,8,192.168.0.13:44074
28986,8,192.168.0.13:44076
25225,8,192.168.0.13:44062
34051,8,192.168.0.13:44028
34034,8,192.168.0.13:44030
34032,8,192.168.0.13:44036
34031,8,192.168.0.13:44044
55992,8,192.168.0.13:44032
78709,8,192.168.0.13:43952
25440,8,192.168.0.13:44146
73652,8,192.168.0.13:44034
25441,8,192.168.0.13:44008
27379,8,192.168.0.13:44048
27392,8,192.168.0.13:44050
27399,8,192.168.0.13:44052
27521,8,192.168.0.13:44054
27754,8,192.168.0.13:44068
28211,8,192.168.0.13:44230
28354,8,192.168.0.13:44238
28413,8,192.168.0.13:44242
28542,8,192.168.0.13:44240
28282,8,192.168.0.13:44258
28643,8,192.168.0.13:44246
28981,8,192.168.0.13:44248
28640,8,192.168.0.13:44272
28539,8,192.168.0.13:44280
27367,8,192.168.0.13:44046
33639,8,192.168.0.13:44236
33792,8,192.168.0.13:44250
34111,8,192.168.0.13:44260
34434,8,192.168.0.13:44214
34636,8,192.168.0.13:44216
34899,8,192.168.0.13:44222
82962,8,192.168.0.13:44038
34898,8,192.168.0.13:44218
34901,8,192.168.0.13:44220
35388,8,192.168.0.13:44224
35363,8,192.168.0.13:44232
36801,8,192.168.0.13:44266
36595,8,192.168.0.13:44226
36958,8,192.168.0.13:44228
37272,8,192.168.0.13:44276
38482,8,192.168.0.13:44264
46310,8,192.168.0.13:44194
39094,8,192.168.0.13:44244
39268,8,192.168.0.13:44234
41289,8,192.168.0.13:44256
41258,8,192.168.0.13:44252
48712,8,192.168.0.13:44198
49110,8,192.168.0.13:44196
